代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
838030.BJ,20250918,德众汽车,9.88,30.0,34764.11,71520.680764,11.383799,0.13157894736843812,9:45:33,9:47:12,1.0, 1/1
831834.BJ,20250918,三维装备,26.0,30.0,33153.64,85970.0764,1302.145174,5.049999999999999,10:0:9,10:0:9,2.0, 2/2
300126.SZ,20250918,锐奇股份,10.07,20.02,26521.06,144438.71470399998,262.668,0.11918951132299238,9:39:30,9:39:30,1.0, 1/1
688205.SH,20250918,德科立,140.4,20.0,298913.2,1385264.63088,2335.1184,-0.9401709401709368,10:21:44,14:49:11,1.0, 1/1
300507.SZ,20250918,苏奥传感,10.44,20.0,227464.55,505161.3699359999,86.1536,0.22988505747127963,11:18:24,15:0:0,1.0, 1/1
688629.SH,20250918,华丰科技,106.21,20.0,421566.05,1930717.7421869999,1745.0069,2.813241441645009,13:0:2,14:47:20,1.0, 1/1
301013.SZ,20250918,利和兴,29.23,19.99,257946.93,495773.22191599995,10528.775406,9.97536945812807,10:11:57,14:45:33,2.0, 2/2
301042.SZ,20250918,安联锐视,54.92,19.99,54585.95,190219.363256,18.308,0.0,13:7:45,13:32:0,1.0, 1/1
301446.SZ,20250918,福事特,33.98,19.99,37541.99,107961.25599999998,6.5297,0.24717514124292794,13:47:42,14:56:3,1.0, 1/1
301215.SZ,20250918,中汽股份,7.8,19.82,116943.5,296868.0,229.0498,1.0752688172043001,,,,
300521.SZ,20250918,爱司凯,32.3,16.56,94663.39,362830.8096,136.396,0.8661133164922452,,,,
300620.SZ,20250918,光库科技,123.16,15.0,519086.75,1550330.8751400001,2889.8752,-1.9514472455648857,,,,
688403.SH,20250918,汇成股份,15.48,14.16,148554.97,899570.982888,218.5649,1.327433628318575,,,,
688028.SH,20250918,沃尔德,47.6,13.79,92431.0,412023.97683999996,198.0455,-0.5976571838393507,,,,
300912.SZ,20250918,凯龙高科,20.49,13.46,51860.64,129337.951275,447.2861,-1.052048726467314,,,,
